ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
1,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000,12000000,0,0,1556948.0,1461157318.0,1076277724.0,37771,2190229,116000000.0,16.332,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.40726835719146265,-0.3911746751866682,-0.39063149165134203,-0.3936201451581341,-0.38882900528307446,-0.41295911879292735,-0.37467827184134145,-0.36867104706193005,-0.3534639609762997,-0.38902500313379734,-0.40219375925035644,0.08111071060669232,-0.42689696410108,-0.39409099298614214,0.0813262530344696
1,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000,12000000,0,0,1556449.0,1460442876.0,1077872352.0,37771,2190229,116000000.0,13.332,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.40726835719146265,-0.3911746751866682,-0.39063149165134203,-0.3936201451581341,-0.38882900528307446,-0.41295911879292735,-0.37467827184134145,-0.36867104706193005,-0.353466012831632,-0.3890259194886007,-0.4021893477831612,0.08111071060669232,-0.42689696410108,-0.39409099298614214,-0.028291426409236337
1,2792000000.0,3862000000.0,1114000000.0,13250000000.0,26000000,16000000,0,0,1789740.0,1680159170.0,1238203078.0,37771,2193037,140000000.0,10.25975976,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.4048302204812629,-0.3904937325179473,-0.390071185644342,-0.39278271366996764,-0.3893602367196292,-0.41242884199866026,-0.37467827184134145,-0.36867104706193005,-0.3525067355123467,-0.3887441078350481,-0.4017457999850912,0.08111071060669232,-0.337545870845356,-0.3937006651699935,-0.1405487083433611
1,2792000000.0,3862000000.0,1108000000.0,13250000000.0,38000000,14000000,0,0,1790082.0,1681196754.0,1238368945.0,37771,2193037,136000000.0,10.25975976,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.4048302204812629,-0.3904937325179473,-0.3900942119186023,-0.39278271366996764,-0.3882977738465197,-0.4126939803957938,-0.37467827184134145,-0.36867104706193005,-0.3525053292307362,-0.38874277701311666,-0.40174534112143817,0.08111071060669232,-0.337545870845356,-0.39376571980601827,-0.1405487083433611
1,3154000000.0,4360000000.0,1258000000.0,14964000000.0,30000000,16000000,0,0,2021762.0,1896564610.0,1396403653.0,37771,2195719,150000000.0,10.51051051,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.4024187300739068,-0.38982355574122196,-0.38951855506209543,-0.3919549411378354,-0.3890060824285927,-0.41242884199866026,-0.37467827184134145,-0.36867104706193005,-0.3515526762379846,-0.388466542736102,-0.40130814515469604,0.08111071060669232,-0.2522041215177733,-0.3935380285799316,-0.13138646989877148
1,3152000000.0,4358000000.0,1258000000.0,14960000000.0,30000000,18000000,0,0,2022435.0,1897379725.0,1397572057.0,37771,2195719,142000000.0,10.25975976,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.4024320532253287,-0.3898262472142209,-0.38951855506209543,-0.39195687292904224,-0.3890060824285927,-0.4121637036015267,-0.37467827184134145,-0.36867104706193005,-0.35154990890604343,-0.3884654972564891,-0.4013049128171748,0.08111071060669232,-0.2522041215177733,-0.3936681378519811,-0.1405487083433611
1,3434000000.0,4746000000.0,1368000000.0,16294000000.0,36000000,18000000,0,0,2202499.0,2065152466.0,1520600593.0,37771,2197853,170000000.0,10.75975976,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.40055348887484693,-0.3893041014524349,-0.3890964067006571,-0.3913126205615601,-0.38847485099203793,-0.4121637036015267,-0.37467827184134145,-0.36867104706193005,-0.3508094975261797,-0.38825030923969933,-0.40096455986297824,0.08111071060669232,-0.1842998362586155,-0.3932127553998077,-0.12227909510274344
1,3434000000.0,4746000000.0,1368000000.0,16292000000.0,32000000,20000000,0,0,2202362.0,2065421903.0,1520505953.0,37771,2197855,172000000.0,10.75975976,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.40055348887484693,-0.3893041014524349,-0.3890964067006571,-0.3913135864571635,-0.38882900528307446,-0.4118985652043932,-0.37467827184134145,-0.36867104706193005,-0.3508100608612108,-0.3882499636554683,-0.40096482168031455,0.08111071060669232,-0.18423619587880374,-0.3931802280817953,-0.12227909510274344
1,3640000000.0,5040000000.0,1452000000.0,17290000000.0,42000000,18000000,2000000,0,2337750.0,2193317921.0,1615712489.0,37771,2199440,180000000.0,11.01051051,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3991812042783957,-0.388908454921597,-0.38877403886101325,-0.39083160455105614,-0.38794361955548323,-0.4121637036015267,-0.3727455731598498,-0.36867104706193005,-0.35025335426857157,-0.3880859221651482,-0.40070143704744837,0.08111071060669232,-0.13380119487797656,-0.3930501188097458,-0.11311685665815384
1,3644000000.0,5036000000.0,1450000000.0,17290000000.0,34000000,18000000,0,0,2338564.0,2191995118.0,1614181110.0,37771,2199439,178000000.0,8.803121248,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.399154557975552,-0.3889138378675948,-0.3887817142857667,-0.39083160455105614,-0.3886519281375562,-0.4121637036015267,-0.37467827184134145,-0.36867104706193005,-0.35025000715386123,-0.3880876188135577,-0.4007056735391079,0.08111071060669232,-0.13383301506788245,-0.3930826461277582,-0.19377315283461868
1,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000,20000000,0,0,2430175.0,2282039382.0,1680659639.0,37771,2200601,186000000.0,13.51351351,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.39819529107317836,-0.3886339246757095,-0.3885437761184105,-0.3904916092986518,-0.38723531097341024,-0.4118985652043932,-0.37467827184134145,-0.36867104706193005,-0.3498733087193007,-0.38797212659188945,-0.4005217636555034,0.08111071060669232,-0.0968579543972445,-0.39295253685570863,-0.021659063157942422
1,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000,20000000,2000000,0,2431784.0,2282041862.0,1681138751.0,37771,2200600,186000000.0,11.26126126,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.39816864477033465,-0.3886339246757095,-0.38853610069365707,-0.39048967750744495,-0.38776654240996494,-0.4118985652043932,-0.3727455731598498,-0.36867104706193005,-0.3498666926166361,-0.38797212341100157,-0.4005204382135377,0.08111071060669232,-0.09688977458715038,-0.39295253685570863,-0.10395461821356422
1,8200000000.0,19434000000.0,6256000000.0,59954000000.0,202000000,160000000,6000000,4000000,3259234.0,11407387387.0,8376314544.0,37771,2205834,912000000.0,4.273322422,-0.22508815,0.01742152,0.015436366,-0.2824496,0.08119165,0.10446547,0.1705446,-0.049234927,0.009183653,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3688044190365628,-0.3695379237485358,-0.3703376686032872,-0.3702271195388683,-0.3737774479140234,-0.3933388774050459,-0.3688801757968664,-0.36477985844434757,-0.3464642723867832,-0.3762678084290672,-0.38199853318157967,0.08111071060669232,0.06965709938024985,-0.38114512041721216,-0.35928849805226654
1,8204000000.0,19430000000.0,6256000000.0,59958000000.0,202000000,164000000,6000000,4000000,3259806.0,11407505373.0,8373560008.0,37771,2205834,916000000.0,4.182214948,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3687777727337191,-0.3695433066945336,-0.3703376686032872,-0.37022518774766144,-0.3737774479140234,-0.3928086006107789,-0.3688801757968664,-0.36477985844434757,-0.34646192036023,-0.37626765709832544,-0.38200615348249134,0.08111071060669232,0.06965709938024985,-0.38108006578118736,-0.36261749467888577
1,9346000000.0,22146000000.0,7130000000.0,68328000000.0,176000000,186000000,8000000,6000000,3713148.0,13003334800.0,9548958313.0,37771,2210655,1052000000.0,3.35747964,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.361170253271839,-0.3658882863620316,-0.3669835079860406,-0.3661829146473424,-0.37607945080576066,-0.38989207824231004,-0.3669474771153747,-0.36283426413555636,-0.34459780773488463,-0.3742208206010249,-0.3787544665286258,0.08111071060669232,0.22306223491651972,-0.37886820815634503,-0.39275268488496917
